"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          34,       -9.16530425,      -9.166656573,      -9.241377491,      -8.958125019,      -8.556978112
          0,           0,          35,      -9.221612449,      -9.231766172,      -9.290780264,      -9.017231735,      -8.614697248
          0,           0,          36,      -9.290516461,      -9.294191166,      -9.342666018,      -9.075609997,      -8.674417951
          0,           0,          37,      -9.359834742,      -9.357633698,      -9.396739808,      -9.133618154,      -8.737391616
          0,           0,          38,      -9.424007701,      -9.429820693,      -9.452249619,      -9.188602155,      -8.816394573
          0,           0,          39,      -9.476940914,      -9.493534076,      -9.507617174,      -9.247231774,      -8.870670909
          0,           0,          40,      -9.542797628,      -9.553182429,       -9.56417202,      -9.305251465,      -8.925831548
          0,           0,          41,      -9.609411183,      -9.614046488,      -9.620272307,      -9.361602016,      -8.985189535
          0,           0,          42,      -9.670642986,      -9.683679433,      -9.677991739,      -9.414608583,      -9.061400762
          0,           0,          43,      -9.717124247,      -9.744052117,      -9.733673017,      -9.471354116,      -9.109948695
          0,           0,          44,      -9.778495765,      -9.799738259,      -9.788804519,      -9.527516967,       -9.16124526
          0,           0,          45,      -9.843288446,      -9.855292455,      -9.842737995,      -9.582437714,      -9.218816603
          0,           0,          46,       -9.90207065,      -9.919791421,      -9.898365766,      -9.635395552,      -9.292654208
          0,           0,          47,        -9.9477527,      -9.973333511,      -9.953244964,      -9.692665138,       -9.34057772
          0,           0,          48,      -10.00778942,      -10.02197578,      -10.00706138,      -9.749295625,      -9.390806223
          0,           0,          49,      -10.06799281,      -10.07437602,      -10.05997478,      -9.804862409,      -9.447660507
          0,           0,          50,      -10.12034768,      -10.12329496,      -10.10674963,       -9.85599989,      -9.497653642
          0,           0,          51,       -10.1718145,      -10.18495435,      -10.15599796,      -9.904107081,      -9.565329263
          0,           0,          52,      -10.21547143,      -10.23972904,      -10.20308063,        -9.9537078,      -9.609719684
